Generation, Best Fitness, Best Genome
None,-inf,None
4,-3.56,341663545465605423333525662661602055106456040614552221003241645256165041500033101202040252601613041304016534256205362613321414144254646431663033250335152426465630320645205166423415542612563046311503212134221233434361312064340535543043432555036
16,2.8,341263545464605423333540361061602054603131145516061036250241114034650113365261432453241345450334516314161400236332110110255600133142130400416624553662006543053166320140130534332410365541525163343663421123133154313112310503342421506603042365333
23,5.8,061610454135023223333535562661302054106451662302331241352354232321625224455260132406641403134300460450204023365026046240255616216612432366345655313662006545551266320165060620614261232434005124446116350344033040643061353524530564011350440365425
23,5.8,061610454135023223333535562661302054106451662302331241352354232321625224455260132406641403134300460450204023365026046240255616216612432366345655313662006545551266320165060620614261232434005124446116350344033040643061353524530564011350440365425
49,6.4,642610454135023103335040362651302054106656114316434034326654254321425224420144213330056124134300450450305023426332110636123143365414205064565242442430206545551061320141106134635410365541525163343663423122341046353112310556201221006601402202410
49,6.4,642610454135023103335040362651302054106656114316434034326654254321425224420144213330056124134300450450305023426332110636123143365414205064565242442430206545551061320141106134635410365541525163343663423122341046353112310556201221006601402202410
66,7.2,311255545415645424333040362651302154106456115316434034026654654043325222430123213350206164131100460450304043324333110010255666365414005064565245442460006545651061320141106134633211235551636113343663425123133154315012455656601321011611043202410
66,7.2,311255545415645424333040362651302154106456115316434034026654654043325222430123213350206164131100460450304043324333110010255666365414005064565245442460006545651061320141106134633211235551636113343663425123133154315012455656601321011611043202410
82,7.4,341611454135023253333530362651302054106455115316454034426652654345225324025044513350452126135100420100311020426132110631321143365414135064566242442432006545551061320141106135645410301311115163143462461152632144315004455556202461300503042602032
93,8.8,341611454132045423333040362651302154106356015346434034426654654243335222400323265350456223165300420450314023426342110636324143665453201060465441442430006545551366140341106134633210363311622163343663421123131154312644455656206421300503002202011
108,10.8,341611454132045123333140363651302154606356015336434334426652654345425244025043213350456154160304424450314030626332153126245106365415235000465242342430006345351001320641162134645400105541525143343663461122241121311134255554202411500503042402010
118,11.2,343612154125023211333040262651302054106356015316433034426454664225425251065545513353456123631600120450314020656312110636322144665155305060465245442430006445351001355641162164442402105541525143313663461152661111413112455555450434320503055412010
126,14.4,351611414105023240333040662653302154106356215611414034436652654345425244065544513353456153631200124450314020656312110636022251365153201060465245452430006645351501330141106134633215363545625163363663425252660131415111255555202421506603152202011
138,16.8,651616114135013211333040363655302154106352015311414034426653004043425455005143513350456155634320410450364000650312110636022243465616220420066245442431006645351126140346152134644410313315626163363163461152466121413112455656205421344503002232013
148,21.0,651610456135013211333140363655302154106352015311414034426653004043425455340043213350454253664320410350314000656312150606354653465616220465066545442430006645351126140346152134645464113311105163143163465152466121433412455656205420300563360202011
156,21.4,351610454135025120335033232651302154106352015311414024056653604043335202340033023350154223164360415450314020656312160636322144665155401060464245442440001405351001355641162121645460163341105113343063461422361121460604451536200524046623320603400
169,27.2,251610454132024412333040363655352154126350015310454034426353002043365202430043023350654253664320410450310000650312110406322245465616205060461245452430006640351501355611462124435420114311105163243463461153561143315004456536205522346623306205013
177,34.8,351616150135033211333040662651352154126350012310454034426353002043363202430043023650654253664326410450614123656312110636022141665152301060664252442430006445351061150346152134645464113211105113141462362153561143315004456536200524046623330305013
182,41.4,351610451135023441133640563655352156156352003310454034426353022043363202430043023650651253664326410450614123656316110636022141665152301030663255342430006442351361150311462124415460113311304163143462361153564143310004456536200524203503052232013
195,41.6,351616454132065621133640363655352154126350015310454034406053022043363202430043023650654253664326410450614123656312110636322144660133602050663252442430006445351021355641162234645464113311166161343462361153361143315052456236200124203503002234013
205,63.8,351356154151063260033640663655352152146350015316634024033353002046363402436043023650654253666626410450614120656312110636322144660133602050664245042030206445351051365611162114416460133311304163243462366153564143310044456534200322203510005225013
205,63.8,351356154151063260033640663655352152146350015316634024033353002046363402436043023650654253666626410450614120656312110636322144660133602050664245042030206445351051365611162114416460133311304163243462366153564143310044456534200322203510005225013
228,66.6,351356154155063211033040332655355154126350115616634023406053002062363201430045123650654253366626410650114120655312110626322144660133602050644245042430245405051051150411462324412430111611130162143462461153161143313064055536200122203533303124043
230,69.6,351356154132060125133641640655352154126350115310154033406053002062364201436245023650654255664326410453613123656312110656322144065152301030664245342430006445351061355641162134416430111311034162143462461153161143313064055536200122203513303125013
248,82.8,351356154155163211033040363655352150126350051310156034403363202046363402333643423650054255664326610452614120655312111656322124660133602051664046642430206405051021150411463324412430111311314143140462461153164543315044456514203322263513300222013
251,109.0,651356152150063260033640363655352150126350055310651023406053041062363202340040223650054255664626410352663023656112160036326144661133602250662245002430006445351051355151162634216461111311314163140412465153161143315564015536200342203513303222013
264,124.0,650356254155063221133610361655352154125320055310156036300053055044363402436043022650050250666326420352663023656112160036326144611133602251663046642420206405051021150413423324412460111311110162143466421155562143315044456514200322203513300252413
278,164.48,650356254252065221033041361655352154125320055310156036300053055044363403436643022650054253664352666450613103656312113656623141160533422051263046002430006445354061355151161634416460111312134163110422461152562142315044456514200322204443653223003
289,173.8,650356254255663221133560361655356154125350055310156036300053055064361402436043433656054253664352666450613106656312110656322154130152602051663046602433006445051063655641162151312110511312134163140462265153161143310044456514214322600663313125013
