Generation, Best Fitness, Best Genome
None,-inf,None
0,-5.56,251146212231466452621611666602151536203652062432254016423505321164034623345510560251610643443041364653025230352466456330664300100210245242244164446601036366622161365200535611440116651256532635440655513131423266535200541011366505354050130520542
13,0.6,200026442264435614544531116260203455004340241431403224403545366412630323624034320226426642245613236651524602061654125121431014334526053461035533640660534515446300231325016641442434156622415415143530244035121151262236353505436353415313444534515
13,0.6,200026442264435614544531116260203455004340241431403224403545366412630323624034320226426642245613236651524602061654125121431014334526053461035533640660534515446300231325016641442434156622415415143530244035121151262236353505436353415313444534515
37,2.0,200026442264431231363531110216004455005340241431116050245550431560041053624034320226426656112441603261524602061654125121431014334526053461035533640660534515442161360323214641440303156622015166421425245130423555162236353505436353415313444564515
37,2.0,200026442264431231363531110216004455005340241431116050245550431560041053624034320226426656112441603261524602061654125121431014334526053461035533640660534515442161360323214641440303156622015166421425245130423555162236353505436353415313444564515
59,2.2,100026442264431231363531116260204455004340241431113050245556431560041053644054120203226642245610453464265641061654151121430014530524403461036533640660534515446300231323216141442603554653015166431421245130423555162436353505436353432404554553425
59,2.2,100026442264431231363531116260204455004340241431113050245556431560041053644054120203226642245610453464265641061654151121430014530524403461036533640660534515446300231323216141442603554653015166431421245130423555162436353505436353432404554553425
59,2.2,100026442264431231363531116260204455004340241431113050245556431560041053644054120203226642245610453464265641061654151121430014530524403461036533640660534515446300231323216141442603554653015166431421245130423555162436353505436353432404554553425
59,2.2,100026442264431231363531116260204455004340241431113050245556431560041053644054120203226642245610453464265641061654151121430014530524403461036533640660534515446300231323216141442603554653015166431421245130423555162436353505436353432404554553425
94,2.4,200026442266465614534131116200204455004340241431113050245556430560041053624034120333226642245613453464265641006646551345430014330564403461035532640060034566622161350323214641442434156623015166431421245130423156220236353505436353432404550553425
108,2.8,200026442266465614534131116200204455004340241431113050245556430560041053624064150303226642245615453464265601061654151345430014334564403461006533640060034566622161350323214641442434156623515156431421245130421555162346353505436353415313444564515
108,2.8,200026442266465614534131116200204455004340241431113050245556430560041053624064150303226642245615453464265601061654151345430014334564403461006533640060034566622161350323214641442434156623515156431421245130421555162346353505436353415313444564515
122,3.2,230026442226465614534131116200204455204340241431113050245506430560041053024064150303226642245613453464265601061654151345430014334564403461035532640060031566632161350323204641442464156623515156433421245130421135162346356505436353415313544564525
122,3.2,230026442226465614534131116200204455204340241431113050245506430560041053024064150303226642245613453464265601061654151345430014334564403461035532640060031566632161350323204641442464156623515156433421245130421135162346356505436353415313544564525
143,3.8,230026422266465614534131116200204455204340241431113050245506430560041053024064120303226642245613453464265601061654151345430014334564403461035532640060031566632151360323214641442464156623515156431421245130421155162346353505636353415313424564525
143,3.8,230026422266465614534131116200204455204340241431113050245506430560041053024064120303226642245613453464265601061654151345430014334564403461035532640060031566632151360323214641442464156623515156431421245130421155162346353505636353415313424564525
143,3.8,230026422266465614534131116200204455204340241431113050245506430560041053024064120303226642245613453464265601061654151345430014334564403461035532640060031566632151360323214641442464156623515156431421245130421155162346353505636353415313424564525
143,3.8,230026422266465614534131116200204455204340241431113050245506430560041053024064120303226642245613453464265601061654151345430014334564403461035532640060031566632151360323214641442464156623515156431421245130421155162346353505636353415313424564525
143,3.8,230026422266465614534131116200204455204340241431113050245506430560041053024064120303226642245613453464265601061654151345430014334564403461035532640060031566632151360323214641442464156623515156431421245130421155162346353505636353415313424564525
143,3.8,230026422266465614534131116200204455204340241431113050245506430560041053024064120303226642245613453464265601061654151345430014334564403461035532640060031566632151360323214641442464156623515156431421245130421155162346353505636353415313424564525
143,3.8,230026422266465614534131116200204455204340241431113050245506430560041053024064120303226642245613453464265601061654151345430014334564403461035532640060031566632151360323214641442464156623515156431421245130421155162346353505636353415313424564525
143,3.8,230026422266465614534131116200204455204340241431113050245506430560041053024064120303226642245613453464265601061654151345430014334564403461035532640060031566632151360323214641442464156623515156431421245130421155162346353505636353415313424564525
143,3.8,230026422266465614534131116200204455204340241431113050245506430560041053024064120303226642245613453464265601061654151345430014334564403461035532640060031566632151360323214641442464156623515156431421245130421155162346353505636353415313424564525
143,3.8,230026422266465614534131116200204455204340241431113050245506430560041053024064120303226642245613453464265601061654151345430014334564403461035532640060031566632151360323214641442464156623515156431421245130421155162346353505636353415313424564525
248,4.4,030026242256425614534131116200204455204340241431113050245546430460041053634034150303226442245463053464065601041654151345430014334564403464035532640060031566632161350123204631442414656323105166431421245130421135165646356505436453415343424564525
248,4.4,030026242256425614534131116200204455204340241431113050245546430460041053634034150303226442245463053464065601041654151345430014334564403464035532640060031566632161350123204631442414656323105166431421245130421135165646356505436453415343424564525
261,6.0,230026242256425614534131116200204455204340241431113050255546430460031053634034150353226442245463013464065601041654151345430014334564403461035532640060031566632161350123204641442414656323105166431421245230421435165646366505436453415313424564525
261,6.0,230026242256425614534131116200204455204340241431113050255546430460031053634034150353226442245463013464065601041654151345430014334564403461035532640060031566632161350123204641442414656323105166431421245230421435165646366505436453415313424564525
261,6.0,230026242256425614534131116200204455204340241431113050255546430460031053634034150353226442245463013464065601041654151345430014334564403461035532640060031566632161350123204641442414656323105166431421245230421435165646366505436453415313424564525
